Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Final balance
2020-09-25,Yes,2024-09-13,207.0,207,178692.66617518177,31203717.33455518
2020-10-02,Yes,2024-09-13,206.0,206,178257.96622983902,30455163.61881984
2020-10-09,Yes,2024-09-13,205.0,205,177116.85225821915,29708718.278048217
2020-10-16,Yes,2024-09-13,204.0,204,177762.07125821916,29253153.247988217
2020-10-23,Yes,2024-09-13,203.0,203,177001.31291217147,28566819.42292217
2020-10-30,Yes,2024-09-13,202.0,202,176510.97833700618,27865157.687507007
2020-11-06,Yes,2024-09-13,201.0,201,176028.88293971884,27245266.13456972
2020-11-13,Yes,2024-09-13,200.0,200,175349.80938250606,26611942.642172508
2020-11-20,Yes,2024-09-13,199.0,199,174882.83879187182,26047425.840251874
2020-11-27,Yes,2024-09-13,198.0,198,173871.34717404,25479312.83291404
2020-12-04,Yes,2024-09-13,197.0,197,173495.6560277895,24940036.32555779
2020-12-11,Yes,2024-09-13,196.0,196,172926.56014621005,24439296.41177621
2020-12-18,Yes,2024-09-13,195.0,195,172487.98559924407,23976835.336829245
2020-12-24,Yes,2024-09-13,194.0,194,171939.16414621004,23471005.640276216
2020-12-31,Yes,2024-09-13,193.0,193,168114.45359924407,25332118.630509242
2021-01-08,Yes,2024-09-13,192.0,192,166138.96788922878,24811908.44038923
2021-01-15,Yes,2024-09-13,191.0,191,165683.87027198926,24299465.599591985
2021-01-22,Yes,2024-09-13,190.0,190,163837.86429591538,23781570.143815912
2021-01-29,Yes,2024-09-13,189.0,189,162379.2793358042,23239127.356415804
2021-02-05,Yes,2024-09-13,188.0,188,159557.09978545853,22651009.746665455
2021-02-12,Yes,2024-09-13,187.0,187,159209.9472650501,22262299.544605047
2021-02-19,Yes,2024-09-13,186.0,186,158087.73117404,21756141.131324038
2021-02-26,Yes,2024-09-13,185.0,185,157764.7330277895,21384112.76946779
2021-03-05,Yes,2024-09-13,184.0,184,156462.6056283774,20860958.939488377
2021-03-12,Yes,2024-09-13,183.0,183,155984.38859924406,20481910.70031924
2021-03-19,Yes,2024-09-13,182.0,182,154687.79929591538,20058164.987645917
2021-03-26,Yes,2024-09-20,182.0,182,153113.31733580417,24698425.032495804
2021-04-01,Yes,2024-09-20,181.0,181,151137.49887883005,24127141.77521883
2021-04-09,Yes,2024-09-20,180.0,180,150141.38313526637,23778039.033375267
2021-04-16,Yes,2024-09-20,179.0,179,147944.81593971883,23257672.19120972
2021-04-23,Yes,2024-09-20,178.0,178,146317.81438250607,22810725.318922505
2021-04-30,Yes,2024-09-20,177.0,177,142727.0977918718,22307705.92221187
2021-05-07,Yes,2024-09-20,176.0,176,141242.58817404002,21829538.18411404
2021-05-14,Yes,2024-09-20,175.0,175,139136.75027198927,21324068.01994199
2021-05-21,Yes,2024-09-20,174.0,174,138542.24606920098,20986088.4603892
2021-05-28,Yes,2024-09-20,173.0,173,136157.12728153204,20436232.453991532
2021-06-04,Yes,2024-09-27,173.0,173,134138.3068962029,21990951.1119762
2021-06-11,Yes,2024-09-27,172.0,172,132553.1742130528,21324631.33784305
2021-06-18,Yes,2024-09-27,171.0,171,129608.67817518179,20782084.84230518
2021-06-25,Yes,2024-09-27,170.0,170,127994.46322983902,20320814.081069835
2021-07-02,Yes,2024-10-11,171.0,171,126391.26312328233,20849982.080373283
2021-07-09,Yes,2024-10-11,170.0,170,124518.96013526636,20472870.322455272
2021-07-16,Yes,2024-11-08,173.0,173,123886.69440676057,26128675.264456764
2021-07-23,Yes,2024-11-08,172.0,172,121373.58972006917,25501763.02588007
2021-07-30,Yes,2024-11-08,171.0,171,118790.67305158259,24692477.744661584
2021-08-06,Yes,2024-11-08,170.0,170,117928.42543349334,24090198.632683497
2021-08-13,Yes,2024-11-08,169.0,169,116476.90601769698,23397564.316877693
2021-08-20,Yes,2024-11-08,168.0,168,115169.92529923155,22717342.931819234
2021-08-27,Yes,2024-11-08,167.0,167,113426.64929591537,22007062.386985913
2021-09-03,Yes,2024-11-08,166.0,166,111392.23694397399,21273826.619883977
2021-09-10,Yes,2024-11-08,165.0,165,108354.51474763913,20682024.63531764
2021-09-17,Yes,2024-11-08,164.0,164,106741.67191217146,20041965.11166217
2021-09-24,Yes,2024-11-22,165.0,165,105840.52833700618,22271536.400527004
2021-10-01,Yes,2024-11-22,164.0,164,104796.84193971883,21624388.704489715
2021-10-08,Yes,2024-11-22,163.0,163,103639.10988922877,21279997.852449223
2021-10-15,Yes,2024-11-22,162.0,162,107721.15888006479,21059195.307980068
2021-10-22,Yes,2024-11-22,161.0,161,106111.04529923155,20623190.10516923
2021-10-29,Yes,2024-11-22,160.0,160,104939.72226505012,20220540.69168505
2021-11-05,Yes,2024-12-06,161.0,161,104092.983856229,20745565.98708623
2021-11-12,Yes,2024-12-06,160.0,160,101716.77885622895,20023533.983896226
2021-11-19,Yes,2024-12-20,161.0,161,101109.91707405944,20811940.763504058
2021-11-26,Yes,2024-12-20,160.0,160,99452.94440306498,20258224.552263066
2021-12-03,Yes,2024-12-27,160.0,160,98629.54251120992,21680529.41131121
2021-12-10,Yes,2024-12-27,159.0,159,97990.39633580418,21261416.608275805
2021-12-17,Yes,2024-12-27,158.0,158,96801.09678545855,20563962.109415453
2021-12-23,Yes,2024-12-27,157.0,157,96171.48538250604,20122300.079822507
2021-12-31,Yes,2025-01-24,160.0,160,96831.60679187182,20461398.308131866
2022-01-07,Yes,2025-01-31,160.0,160,95032.37843349333,22628356.207453493
2022-01-14,Yes,2025-01-31,159.0,159,93934.55993971882,21944219.65934972
2022-01-21,Yes,2025-01-31,158.0,158,92375.79938250605,21312859.411742505
2022-01-28,Yes,2025-01-31,157.0,157,91841.46179187181,20766888.323101874
