Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Total capital incl. $600,Final balance,Catch-up top-ups,Flat $115 top-ups,Catch-up weeks,Flat weeks,Tax paid
2023-03-17,Yes,2025-05-23,114.0,114,47197.62793971882,47797.62793971882,21239533.37960972,15457.627939718823,31740.0,22,92,340483.34533000004
2023-03-24,Yes,2025-05-23,113.0,113,45001.90118665433,45601.90118665433,23075328.613666657,12916.901186654333,32085.0,20,93,371323.25252
2023-03-31,Yes,2025-05-23,112.0,112,44819.03762837738,45419.03762837738,22047512.12271838,12734.037628377384,32085.0,19,93,354380.09391
2023-04-06,Yes,2025-05-23,111.0,111,44081.429174040015,44681.429174040015,20956210.15148404,11996.429174040017,32085.0,18,93,336527.30668999994
2023-04-14,Yes,2025-05-30,111.0,111,43735.06302778949,44335.06302778949,22270022.99702779,11305.06302778949,32430.0,17,94,319014.80700000003
2023-04-21,Yes,2025-05-30,110.0,110,43000.35098400223,43600.35098400223,21516244.182824004,10225.35098400223,32775.0,15,95,308073.49816
2023-04-28,Yes,2025-05-30,109.0,109,42544.68676938017,43144.68676938017,20557186.93481938,9769.68676938017,32775.0,14,95,294024.24095
2023-05-05,Yes,2025-06-06,109.0,109,42378.39253050732,42978.39253050732,22661894.159890506,9948.392530507324,32430.0,15,94,280306.53564
2023-05-12,Yes,2025-06-06,108.0,108,42295.94773720401,42895.94773720401,21588891.510217205,9865.947737204013,32430.0,14,94,266631.16252
2023-05-19,Yes,2025-06-06,107.0,107,41824.72284421437,42424.72284421437,20425028.460114215,9394.722844214368,32430.0,13,94,251880.80873000005
2023-05-26,Yes,2025-06-27,109.0,109,42311.38251120992,42911.38251120992,22151408.375841208,8846.38251120992,33465.0,12,97,238683.24267000004
2023-06-02,Yes,2025-06-27,108.0,108,41532.08288632528,42132.08288632528,20988438.34688633,8067.082886325283,33465.0,11,97,225868.257
2023-06-09,Yes,2025-07-18,110.0,110,42118.67549409118,42718.67549409118,22401776.503874093,7963.675494091181,34155.0,11,99,213317.73061999996
2023-06-16,Yes,2025-07-18,109.0,109,42086.54840676057,42686.54840676057,21270724.445296764,8276.548406760574,33810.0,11,98,202122.12711
2023-06-23,Yes,2025-07-18,108.0,108,41855.069465182736,42455.069465182736,20246171.946395185,8390.069465182738,33465.0,11,97,192024.84007
2023-06-30,Yes,2025-07-25,108.0,108,41726.37484421437,42326.37484421437,20959721.35410422,8261.374844214366,33465.0,11,97,180012.10774
2023-07-07,Yes,2025-08-08,109.0,109,42030.62151120992,42630.62151120992,20940912.59203121,8220.621511209922,33810.0,11,98,169689.73947999996
2023-07-14,Yes,2025-08-15,109.0,109,41758.16351120992,42358.16351120992,20184004.19409121,9328.163511209921,32430.0,15,94,154501.63842000003
2023-07-21,Yes,2025-10-03,115.0,115,43809.16429923157,44409.16429923157,21160858.49110923,9654.164299231568,34155.0,16,99,141715.11018999998
2023-07-28,Yes,2025-10-03,114.0,114,43894.48972006916,44494.48972006916,20132355.08516007,10084.489720069167,33810.0,16,98,134414.59256
2023-08-04,Yes,2025-10-31,117.0,117,44799.17029923155,45399.17029923155,20369989.457639232,9954.170299231548,34845.0,16,101,125902.40066000003
2023-08-11,Yes,2025-12-05,121.0,121,46569.24229591538,47169.24229591538,25116821.543935917,10344.242295915374,36225.0,16,105,119706.22136000001
2023-08-18,Yes,2025-12-05,120.0,120,46828.257335804185,47428.257335804185,23960845.724495806,10603.257335804185,36225.0,15,105,113766.97183999997
2023-08-25,Yes,2025-12-05,119.0,119,46420.94149409118,47020.94149409118,21008092.82553409,11575.94149409118,34845.0,18,101,98846.37596000002
2023-09-01,Yes,2026-02-13,128.0,128,49768.87352800054,50368.87352800054,20992757.676327996,11818.873528000542,37950.0,18,110,2384745.5331999995
2023-09-08,Yes,2026-02-13,127.0,127,49548.809433493356,50148.809433493356,20046771.524593495,11598.809433493352,37950.0,17,110,2276803.3518400006
2023-09-15,Yes,2026-02-20,127.0,127,50051.41891217146,50651.41891217146,23494059.99815217,12101.418912171455,37950.0,17,110,2171840.828760001
2023-09-22,Yes,2026-02-20,126.0,126,49828.379299231565,50428.379299231565,22448834.077759232,11878.379299231567,37950.0,16,110,2074752.0755399999
2023-09-29,Yes,2026-02-20,125.0,125,50017.01729591537,50617.01729591537,21422360.54028591,12067.01729591537,37950.0,15,110,1979307.0410100003
2023-10-06,Yes,2026-02-20,124.0,124,49822.3203,50422.3203,20422019.52211,11872.3203,37950.0,14,110,1886382.1111899996
2023-10-13,Yes,2026-03-06,125.0,125,50539.80378545855,51139.80378545855,22212462.353705462,12589.803785458547,37950.0,15,110,1801941.02508
2023-10-20,Yes,2026-03-06,124.0,124,50385.580177472286,50985.580177472286,21188331.993527472,13125.58017747229,37260.0,16,108,1718358.9236500005
2023-10-27,Yes,2026-03-06,123.0,123,50726.425146210044,51326.425146210044,20654846.052516207,13121.425146210044,37605.0,14,109,1674718.1546300002
2023-11-03,Yes,2026-03-13,123.0,123,51189.54488922877,51789.54488922877,25908285.45125923,17034.544889228764,34155.0,24,99,1594358.6616299998
2023-11-10,Yes,2026-03-13,122.0,122,51348.14688922876,51948.14688922876,25694044.03992923,16503.14688922876,34845.0,21,101,1581043.74796
2023-11-17,Yes,2026-03-13,121.0,121,50479.245069200966,51079.245069200966,24649376.9432792,15634.245069200966,34845.0,20,101,1516482.9367899997
2023-11-24,Yes,2026-03-13,120.0,120,49311.45928153202,49911.45928153202,23459343.00010153,14466.459281532023,34845.0,19,101,1442987.6081800002
2023-12-01,Yes,2026-03-13,119.0,119,48389.651135266366,48989.651135266366,22608218.02166526,12854.651135266362,35535.0,16,103,1390435.37347
2023-12-08,Yes,2026-03-13,118.0,118,47855.587027789494,48455.587027789494,21983794.168787792,12320.587027789494,35535.0,15,103,1351855.3572400003
