configuration,idea_id,kind,description,final_balance,cagr_percent,closed_trade_drawdown,daily_equity_drawdown,closed_dd_improvement_pp,daily_dd_improvement_pp,cagr_change_pp,cagr_retention,trades,weeks,days_in_position
leverage_override,130,confirmation,1m <= -0.515% AND 5m <= -0.895%,272790419.58647025,242.11550480625533,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-138.25878494705086,0.6365191111188947,433,433,1342
leverage_override,131,confirmation,1m <= -0.550% AND 5m <= -0.950%,380965963.86456025,256.1564899919446,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-124.21779976136156,0.6734327132311606,433,433,1342
leverage_override,132,confirmation,1m <= -0.585% AND 5m <= -1.005%,796901651.4957286,289.2588045099745,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-91.1154852433317,0.7604583493210723,433,433,1345
leverage_override,133,confirmation,1m <= -0.620% AND 5m <= -1.060%,800438765.1841406,289.46646000643324,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-90.90782974687295,0.7610042734333288,433,433,1346
leverage_override,134,confirmation,1m <= -0.655% AND 5m <= -1.115%,1003264075.5930701,300.20447766111846,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-80.16981209218773,0.7892344087078486,433,433,1348
leverage_override,135,confirmation,1m <= -0.690% AND 5m <= -1.170%,1215842715.469389,309.57425123904824,0.9833911878588082,0.9833911878588082,-1.3914821658783327,-1.0032843265384894,-70.80003851425795,0.813867444720894,433,433,1349
leverage_override,136,confirmation,1m <= -0.725% AND 5m <= -1.225%,1519528400.2712967,320.7201465589907,0.9848903248906189,0.9848903248906189,-1.5413958690594032,-1.1531980297195599,-59.65414319431551,0.843169886079828,433,433,1350
leverage_override,137,confirmation,1m <= -0.760% AND 5m <= -1.280%,1519528400.2712967,320.7201465589907,0.9848903248906189,0.9848903248906189,-1.5413958690594032,-1.1531980297195599,-59.65414319431551,0.843169886079828,433,433,1350
leverage_override,138,confirmation,1m <= -0.795% AND 5m <= -1.335%,1519528400.2712967,320.7201465589907,0.9848903248906189,0.9848903248906189,-1.5413958690594032,-1.1531980297195599,-59.65414319431551,0.843169886079828,433,433,1350
leverage_override,139,confirmation,1m <= -0.830% AND 5m <= -1.390%,4399890691.345439,378.18535167578113,0.9694763662000249,0.9733583445934233,0.0,0.0,-2.1889380775250515,0.994245304857632,433,433,1350
leverage_override,140,confirmation,1m <= -0.865% AND 5m <= -1.445%,4399890691.345439,378.18535167578113,0.9694763662000249,0.9733583445934233,0.0,0.0,-2.1889380775250515,0.994245304857632,433,433,1350
leverage_override,141,confirmation,3m <= -0.300% AND 15m <= -0.600%,2203830.635180002,91.50094295583571,0.8696987850142698,0.8793918817284493,9.977758118575508,9.3966462864974,-288.8733467974705,0.2405550149437785,433,433,1052
leverage_override,142,confirmation,3m <= -0.345% AND 15m <= -0.675%,11874891.940310022,134.56001724440668,0.8813796976548531,0.885032252631787,8.809666854517173,8.832609196163633,-245.8142725088995,0.35375686756241154,433,433,1128
leverage_override,143,confirmation,3m <= -0.390% AND 15m <= -0.750%,24432900.482740022,155.85137464738662,0.9636154797708545,0.9636154797708545,0.5860886429170376,0.9742864822568809,-224.52291510591957,0.40973162184138384,433,433,1207
leverage_override,144,confirmation,3m <= -0.435% AND 15m <= -0.825%,19726389.04743002,149.3430223401154,0.9755296418765154,0.9755296418765154,-0.6053275676490499,-0.21712972830920663,-231.0312674131908,0.39262123219992767,433,433,1253
leverage_override,145,confirmation,3m <= -0.480% AND 15m <= -0.900%,28409058.39091,160.53929009463448,0.9771964120032945,0.9771964120032945,-0.7720045803269682,-0.38380674098712486,-219.8349996586717,0.4220561021586215,433,433,1282
leverage_override,146,confirmation,3m <= -0.525% AND 15m <= -0.975%,107074237.59760998,205.67783336824283,0.9926887694417258,0.9926887694417258,-2.321240324170093,-1.9330424848302497,-174.69645638506336,0.5407248568288785,433,433,1314
leverage_override,147,confirmation,3m <= -0.570% AND 15m <= -1.050%,210408796.0434599,231.58380376532034,0.992640965327191,0.992640965327191,-2.3164599127166174,-1.9282620733767741,-148.79048598798585,0.6088313800480976,433,433,1328
leverage_override,148,confirmation,3m <= -0.615% AND 15m <= -1.125%,2214836384.8912973,340.24897251214804,0.9694763662000249,0.9733583445934233,0.0,0.0,-40.12531724115814,0.8945109637478873,433,433,1334
leverage_override,149,confirmation,3m <= -0.660% AND 15m <= -1.200%,5043603071.413784,386.11295125853707,0.9694763662000249,0.9733583445934233,0.0,0.0,5.73866150523088,1.0150868806326334,433,433,1340
leverage_override,150,confirmation,3m <= -0.705% AND 15m <= -1.275%,3095362201.112448,358.35726591071966,0.9694763662000249,0.9733583445934233,0.0,0.0,-22.017023842586525,0.9421174762971867,433,433,1340
leverage_override,151,confirmation,3m <= -0.750% AND 15m <= -1.350%,2256458882.65447,341.237137707153,0.9694763662000249,0.9733583445934233,0.0,0.0,-39.137152046153176,0.8971088396338885,433,433,1343
leverage_override,152,confirmation,3m <= -0.795% AND 15m <= -1.425%,2123034607.1089704,338.01041582706983,0.9694763662000249,0.9733583445934233,0.0,0.0,-42.36387392623635,0.8886258218090616,433,433,1343
leverage_override,153,confirmation,3m <= -0.840% AND 15m <= -1.500%,1743162898.6117406,327.7342125581203,0.9694763662000249,0.9733583445934233,0.0,0.0,-52.64007719518588,0.8616097916887971,433,433,1343
leverage_override,154,confirmation,3m <= -0.885% AND 15m <= -1.575%,2741890045.61283,351.7129156210852,0.9694763662000249,0.9733583445934233,0.0,0.0,-28.661374132221,0.9246495493930216,433,433,1345
