idea_id,family,description,final_balance,deposited,cagr_percent,daily_drawdown,closed_drawdown,trades,days_in_position,dd_improvement_pp,cagr_change_pp,cagr_retention
34,failed-recovery,"{""entry_loss"": 0.015, ""failed_recovery_minutes"": 30, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.0075}",276905483.68222004,10000.0,242.7329003293685,0.8187492868728039,0.8157607703077745,376,1019,2.7974430046135312,-608.4839445832852,0.2851598882001403
35,failed-recovery,"{""entry_loss"": 0.015, ""failed_recovery_minutes"": 60, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.0075}",143254752.34012008,10000.0,216.58346006403923,0.8098123176188242,0.8066764456023549,376,1024,3.6911399300115,-634.6333848486145,0.25443981913476305
36,failed-recovery,"{""entry_loss"": 0.02, ""failed_recovery_minutes"": 5, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.01}",323657755.11134017,10000.0,249.2327343980591,0.8559382560353247,0.8535629224391291,376,1065,-0.9214539116385478,-601.9841105145945,0.29279582034544177
37,failed-recovery,"{""entry_loss"": 0.02, ""failed_recovery_minutes"": 10, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.01}",276213300.5233701,10000.0,242.62961702559167,0.8559294997787532,0.8535540218067516,376,1067,-0.9205782859813993,-608.587227887062,0.28503855213355034
38,failed-recovery,"{""entry_loss"": 0.02, ""failed_recovery_minutes"": 15, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.01}",267191205.21999994,10000.0,241.2621470226798,0.8605071663380857,0.8582071663165189,376,1067,-1.3783449419146443,-609.9546978899739,0.28343206371513546
39,failed-recovery,"{""entry_loss"": 0.02, ""failed_recovery_minutes"": 30, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.01}",295219611.20629,10000.0,245.38635778463464,0.8471937239962859,0.8471937239962859,376,1068,-0.04700070773466791,-605.8304871280191,0.2882771402506897
40,failed-recovery,"{""entry_loss"": 0.02, ""failed_recovery_minutes"": 60, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.01}",187803807.75383013,10000.0,227.07648724335087,0.8401375814553396,0.8401375814553396,376,1072,0.6586135463599652,-624.1403576693028,0.2667669097486575
41,failed-recovery,"{""entry_loss"": 0.025, ""failed_recovery_minutes"": 5, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.0125}",19764295993.268246,10000.0,473.0130735250959,0.792048864690441,0.7772496096257131,376,1107,5.467485222849822,-378.20377138755777,0.5556904522649965
42,failed-recovery,"{""entry_loss"": 0.025, ""failed_recovery_minutes"": 10, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.0125}",19764295993.268246,10000.0,473.0130735250959,0.792048864690441,0.7772496096257131,376,1107,5.467485222849822,-378.20377138755777,0.5556904522649965
43,failed-recovery,"{""entry_loss"": 0.025, ""failed_recovery_minutes"": 15, ""opening_range_minutes"": 30, ""persistence"": 3, ""recovery_gap"": 0.0125}",19976905334.86613,10000.0,473.7518733301335,0.7920552860125847,0.777252670910647,376,1107,5.466843090635454,-377.46497158252015,0.5565583859877055
